"Country or Area","Year","Item","Value"
"Germany","2021","Gross Domestic Product (GDP)","51073.1178941387"
"Germany","2020","Gross Domestic Product (GDP)","46678.4607452526"
"Germany","2019","Gross Domestic Product (GDP)","46762.6334053766"
"Germany","2018","Gross Domestic Product (GDP)","47944.5327352927"
"Germany","2017","Gross Domestic Product (GDP)","44670.2222823214"
"Germany","2016","Gross Domestic Product (GDP)","42116.3375507833"
"Germany","2015","Gross Domestic Product (GDP)","40893.1860935959"
"Germany","2014","Gross Domestic Product (GDP)","47446.566149615"
"Germany","2013","Gross Domestic Product (GDP)","45699.2707878291"
"Germany","2012","Gross Domestic Product (GDP)","43256.1224407462"
"Germany","2011","Gross Domestic Product (GDP)","45986.8982920843"
"Germany","2010","Gross Domestic Product (GDP)","41762.6845007331"
"Germany","2009","Gross Domestic Product (GDP)","41810.9853959123"
"Germany","2008","Gross Domestic Product (GDP)","45928.1168616101"
"Germany","2007","Gross Domestic Product (GDP)","42139.5927245397"
"Germany","2006","Gross Domestic Product (GDP)","36857.8947938575"
"Germany","2005","Gross Domestic Product (GDP)","35040.7094205569"
"Germany","2004","Gross Domestic Product (GDP)","34569.0300915942"
"Germany","2003","Gross Domestic Product (GDP)","30683.8389126741"
"Germany","2002","Gross Domestic Product (GDP)","25400.6775406839"
"Germany","2001","Gross Domestic Product (GDP)","23849.601776359"
"Germany","2000","Gross Domestic Product (GDP)","23827.1481812709"
"Germany","1999","Gross Domestic Product (GDP)","26903.1635964241"
"Germany","1998","Gross Domestic Product (GDP)","27463.9481034528"
"Germany","1997","Gross Domestic Product (GDP)","27162.0122757488"
"Germany","1996","Gross Domestic Product (GDP)","30716.9348087686"
"Germany","1995","Gross Domestic Product (GDP)","31872.7237242331"
"Germany","1994","Gross Domestic Product (GDP)","27262.1052485054"
"Germany","1993","Gross Domestic Product (GDP)","25706.3645957612"
"Germany","1992","Gross Domestic Product (GDP)","26577.8996762052"
"Germany","1991","Gross Domestic Product (GDP)","23419.5014446967"
"Germany","1990","Gross Domestic Product (GDP)","22321.3118540887"
"Germany","1989","Gross Domestic Product (GDP)","17728.1208007552"
"Germany","1988","Gross Domestic Product (GDP)","17854.3490444086"
"Germany","1987","Gross Domestic Product (GDP)","16624.0601579912"
"Germany","1986","Gross Domestic Product (GDP)","13447.9463965047"
"Germany","1985","Gross Domestic Product (GDP)","9434.99943647381"
"Germany","1984","Gross Domestic Product (GDP)","9347.95732771214"
"Germany","1983","Gross Domestic Product (GDP)","9936.14664164884"
"Germany","1982","Gross Domestic Product (GDP)","10006.1107272553"
"Germany","1981","Gross Domestic Product (GDP)","10303.9674029926"
"Germany","1980","Gross Domestic Product (GDP)","12217.1727576184"
"Germany","1979","Gross Domestic Product (GDP)","11311.0552601663"
"Germany","1978","Gross Domestic Product (GDP)","9484.56343092647"
"Germany","1977","Gross Domestic Product (GDP)","7676.83013467406"
"Germany","1976","Gross Domestic Product (GDP)","6632.37858737187"
"Germany","1975","Gross Domestic Product (GDP)","6248.93626380543"
"Germany","1974","Gross Domestic Product (GDP)","5663.9780248133"
"Germany","1973","Gross Domestic Product (GDP)","5064.10409976827"
"Germany","1972","Gross Domestic Product (GDP)","3812.09429735765"
"Germany","1971","Gross Domestic Product (GDP)","3184.05744041927"
"Germany","1970","Gross Domestic Product (GDP)","2756.70649624321"
"Kazakhstan","2021","Gross Domestic Product (GDP)","10054.8900817298"
"Kazakhstan","2020","Gross Domestic Product (GDP)","9014.18302522247"
"Kazakhstan","2019","Gross Domestic Product (GDP)","9686.71674675051"
"Kazakhstan","2018","Gross Domestic Product (GDP)","9674.12988338566"
"Kazakhstan","2017","Gross Domestic Product (GDP)","9107.69767941843"
"Kazakhstan","2016","Gross Domestic Product (GDP)","7593.43516509154"
"Kazakhstan","2015","Gross Domestic Product (GDP)","10338.0435742772"
"Kazakhstan","2014","Gross Domestic Product (GDP)","12585.9403931964"
"Kazakhstan","2013","Gross Domestic Product (GDP)","13642.2379826682"
"Kazakhstan","2012","Gross Domestic Product (GDP)","12161.6221040984"
"Kazakhstan","2011","Gross Domestic Product (GDP)","11421.7261892927"
"Kazakhstan","2010","Gross Domestic Product (GDP)","8903.58428703886"
"Kazakhstan","2009","Gross Domestic Product (GDP)","7030.00201995031"
"Kazakhstan","2008","Gross Domestic Product (GDP)","8238.91020654203"
"Kazakhstan","2007","Gross Domestic Product (GDP)","6550.60755097641"
"Kazakhstan","2006","Gross Domestic Product (GDP)","5119.4561725652"
"Kazakhstan","2005","Gross Domestic Product (GDP)","3648.61822154933"
"Kazakhstan","2004","Gross Domestic Product (GDP)","2780.0450238862"
"Kazakhstan","2003","Gross Domestic Product (GDP)","2000.01730756363"
"Kazakhstan","2002","Gross Domestic Product (GDP)","1606.1448628442"
"Kazakhstan","2001","Gross Domestic Product (GDP)","1449.66140802676"
"Kazakhstan","2000","Gross Domestic Product (GDP)","1200.55702797381"
"Kazakhstan","1999","Gross Domestic Product (GDP)","1105.82951941546"
"Kazakhstan","1998","Gross Domestic Product (GDP)","1430.45638343128"
"Kazakhstan","1997","Gross Domestic Product (GDP)","1401.09524587989"
"Kazakhstan","1996","Gross Domestic Product (GDP)","1302.96308231023"
"Kazakhstan","1995","Gross Domestic Product (GDP)","1250.69705170161"
"Kazakhstan","1994","Gross Domestic Product (GDP)","1310.12957565751"
"Kazakhstan","1993","Gross Domestic Product (GDP)","1447.05579493215"
"Kazakhstan","1992","Gross Domestic Product (GDP)","1551.59610266893"
"Kazakhstan","1991","Gross Domestic Product (GDP)","1606.92773267661"
"Kazakhstan","1990","Gross Domestic Product (GDP)","1758.75947420768"
"Latvia","2021","Gross Domestic Product (GDP)","21267.46224347"
"Latvia","2020","Gross Domestic Product (GDP)","18239.7426761832"
"Latvia","2019","Gross Domestic Product (GDP)","17919.6323991868"
"Latvia","2018","Gross Domestic Product (GDP)","17786.9858573287"
"Latvia","2017","Gross Domestic Product (GDP)","15593.8403927397"
"Latvia","2016","Gross Domestic Product (GDP)","14220.8637714798"
"Latvia","2015","Gross Domestic Product (GDP)","13681.0965240821"
"Latvia","2014","Gross Domestic Product (GDP)","15586.5444034599"
"Latvia","2013","Gross Domestic Product (GDP)","14866.3992457487"
"Latvia","2012","Gross Domestic Product (GDP)","13719.9172449879"
"Latvia","2011","Gross Domestic Product (GDP)","13342.4182026272"
"Latvia","2010","Gross Domestic Product (GDP)","11403.1221945412"
"Latvia","2009","Gross Domestic Product (GDP)","12422.4284295482"
"Latvia","2008","Gross Domestic Product (GDP)","16672.2249995901"
"Latvia","2007","Gross Domestic Product (GDP)","14271.7405107997"
"Latvia","2006","Gross Domestic Product (GDP)","9787.30472054947"
"Latvia","2005","Gross Domestic Product (GDP)","7613.90658388501"
"Latvia","2004","Gross Domestic Product (GDP)","6377.90476697362"
"Latvia","2003","Gross Domestic Product (GDP)","5130.64694898361"
"Latvia","2002","Gross Domestic Product (GDP)","4108.49464163672"
"Latvia","2001","Gross Domestic Product (GDP)","3544.33899148246"
"Latvia","2000","Gross Domestic Product (GDP)","3326.65143118633"
"Latvia","1999","Gross Domestic Product (GDP)","3104.92295381771"
"Latvia","1998","Gross Domestic Product (GDP)","2910.5036124062"
"Latvia","1997","Gross Domestic Product (GDP)","2612.43692637964"
"Latvia","1996","Gross Domestic Product (GDP)","2357.62293332629"
"Latvia","1995","Gross Domestic Product (GDP)","2103.97039677236"
"Latvia","1994","Gross Domestic Product (GDP)","2028.10764622974"
"Latvia","1993","Gross Domestic Product (GDP)","1948.71055147085"
"Latvia","1992","Gross Domestic Product (GDP)","2215.91375484607"
"Latvia","1991","Gross Domestic Product (GDP)","3305.95149893365"
"Latvia","1990","Gross Domestic Product (GDP)","3555.64356633479"
"Lithuania","2021","Gross Domestic Product (GDP)","23844.1256495224"
"Lithuania","2020","Gross Domestic Product (GDP)","20156.4684848772"
"Lithuania","2019","Gross Domestic Product (GDP)","19217.2394022148"
"Lithuania","2018","Gross Domestic Product (GDP)","18688.8105847322"
"Lithuania","2017","Gross Domestic Product (GDP)","16443.2980191706"
"Lithuania","2016","Gross Domestic Product (GDP)","14663.5590393251"
"Lithuania","2015","Gross Domestic Product (GDP)","13975.0867481462"
"Lithuania","2014","Gross Domestic Product (GDP)","16218.936869552"
"Lithuania","2013","Gross Domestic Product (GDP)","15360.4914296739"
"Lithuania","2012","Gross Domestic Product (GDP)","14018.4988082522"
"Lithuania","2011","Gross Domestic Product (GDP)","14059.7061065315"
"Lithuania","2010","Gross Domestic Product (GDP)","11831.2328574576"
"Lithuania","2009","Gross Domestic Product (GDP)","11755.0791163584"
"Lithuania","2008","Gross Domestic Product (GDP)","14837.7873775292"
"Lithuania","2007","Gross Domestic Product (GDP)","12129.0447331003"
"Lithuania","2006","Gross Domestic Product (GDP)","9081.14351094195"
"Lithuania","2005","Gross Domestic Product (GDP)","7740.69542385984"
"Lithuania","2004","Gross Domestic Product (GDP)","6610.27739885719"
"Lithuania","2003","Gross Domestic Product (GDP)","5413.17849422684"
"Lithuania","2002","Gross Domestic Product (GDP)","4055.07406412236"
"Lithuania","2001","Gross Domestic Product (GDP)","3437.39055487114"
"Lithuania","2000","Gross Domestic Product (GDP)","3201.70480879046"
"Lithuania","1999","Gross Domestic Product (GDP)","3019.24648701247"
"Lithuania","1998","Gross Domestic Product (GDP)","3066.35120657154"
"Lithuania","1997","Gross Domestic Product (GDP)","2738.59017736901"
"Lithuania","1996","Gross Domestic Product (GDP)","2252.18008297641"
"Lithuania","1995","Gross Domestic Product (GDP)","1787.76645187013"
"Lithuania","1994","Gross Domestic Product (GDP)","1684.84662157827"
"Lithuania","1993","Gross Domestic Product (GDP)","1819.43855301391"
"Lithuania","1992","Gross Domestic Product (GDP)","2117.54322001849"
"Lithuania","1991","Gross Domestic Product (GDP)","2630.9360136551"
"Lithuania","1990","Gross Domestic Product (GDP)","2703.40454796966"
"Poland","2021","Gross Domestic Product (GDP)","17736.4195570017"
"Poland","2020","Gross Domestic Product (GDP)","15598.9662324749"
"Poland","2019","Gross Domestic Product (GDP)","15484.6119244278"
"Poland","2018","Gross Domestic Product (GDP)","15284.4647273722"
"Poland","2017","Gross Domestic Product (GDP)","13615.4404345575"
"Poland","2016","Gross Domestic Product (GDP)","12198.2555080355"
"Poland","2015","Gross Domestic Product (GDP)","12375.4177666649"
"Poland","2014","Gross Domestic Product (GDP)","13972.3788425077"
"Poland","2013","Gross Domestic Product (GDP)","13359.165246807"
"Poland","2012","Gross Domestic Product (GDP)","12821.2134269568"
"Poland","2011","Gross Domestic Product (GDP)","13577.4915176744"
"Poland","2010","Gross Domestic Product (GDP)","12324.5916354833"
"Poland","2009","Gross Domestic Product (GDP)","11405.223333635"
"Poland","2008","Gross Domestic Product (GDP)","13851.5039799595"
"Poland","2007","Gross Domestic Product (GDP)","11137.068654363"
"Poland","2006","Gross Domestic Product (GDP)","8940.3852457109"
"Poland","2005","Gross Domestic Product (GDP)","7936.19399641568"
"Poland","2004","Gross Domestic Product (GDP)","6609.67452070404"
"Poland","2003","Gross Domestic Product (GDP)","5640.08353415444"
"Poland","2002","Gross Domestic Product (GDP)","5150.92971223031"
"Poland","2001","Gross Domestic Product (GDP)","4937.69689215372"
"Poland","2000","Gross Domestic Product (GDP)","4472.74371583253"
"Poland","1999","Gross Domestic Product (GDP)","4433.08155139153"
"Poland","1998","Gross Domestic Product (GDP)","4551.48090355315"
"Poland","1997","Gross Domestic Product (GDP)","4150.37126741924"
"Poland","1996","Gross Domestic Product (GDP)","4171.54605608281"
"Poland","1995","Gross Domestic Product (GDP)","3705.37583947241"
"Poland","1994","Gross Domestic Product (GDP)","2891.04683242325"
"Poland","1993","Gross Domestic Product (GDP)","2513.35793225786"
"Poland","1992","Gross Domestic Product (GDP)","2469.70618404366"
"Poland","1991","Gross Domestic Product (GDP)","2244.07935186422"
"Poland","1990","Gross Domestic Product (GDP)","1735.22144539404"
"Poland","1989","Gross Domestic Product (GDP)","2238.62102180523"
"Poland","1988","Gross Domestic Product (GDP)","1880.16329158978"
"Poland","1987","Gross Domestic Product (GDP)","1753.25456198801"
"Poland","1986","Gross Domestic Product (GDP)","2039.15986721111"
"Poland","1985","Gross Domestic Product (GDP)","1972.43040307284"
"Poland","1984","Gross Domestic Product (GDP)","2137.56014838955"
"Poland","1983","Gross Domestic Product (GDP)","2154.56633413135"
"Poland","1982","Gross Domestic Product (GDP)","1880.49328672488"
"Poland","1981","Gross Domestic Product (GDP)","1562.50266833231"
"Poland","1980","Gross Domestic Product (GDP)","1664.00305298245"
"Poland","1979","Gross Domestic Product (GDP)","2180.74306972191"
"Poland","1978","Gross Domestic Product (GDP)","1965.8312251076"
"Poland","1977","Gross Domestic Product (GDP)","1751.35014440329"
"Poland","1976","Gross Domestic Product (GDP)","1594.39630791658"
"Poland","1975","Gross Domestic Product (GDP)","1444.04414713821"
"Poland","1974","Gross Domestic Product (GDP)","1369.19923099899"
"Poland","1973","Gross Domestic Product (GDP)","1231.58921271515"
"Poland","1972","Gross Domestic Product (GDP)","1049.59326684778"
"Poland","1971","Gross Domestic Product (GDP)","957.115958403702"
"Poland","1970","Gross Domestic Product (GDP)","870.513387595453"
"Russian Federation","2021","Gross Domestic Product (GDP)","12258.7720197789"
"Russian Federation","2020","Gross Domestic Product (GDP)","10227.9164699323"
"Russian Federation","2019","Gross Domestic Product (GDP)","11617.1844603778"
"Russian Federation","2018","Gross Domestic Product (GDP)","11378.6659729545"
"Russian Federation","2017","Gross Domestic Product (GDP)","10822.7702499791"
"Russian Federation","2016","Gross Domestic Product (GDP)","8798.79940487206"
"Russian Federation","2015","Gross Domestic Product (GDP)","9424.87996336878"
"Russian Federation","2014","Gross Domestic Product (GDP)","14272.03531141"
"Russian Federation","2013","Gross Domestic Product (GDP)","15924.7016370399"
"Russian Federation","2012","Gross Domestic Product (GDP)","15374.9561173183"
"Russian Federation","2011","Gross Domestic Product (GDP)","14270.7723488906"
"Russian Federation","2010","Gross Domestic Product (GDP)","10749.9102420029"
"Russian Federation","2009","Gross Domestic Product (GDP)","8623.8036670827"
"Russian Federation","2008","Gross Domestic Product (GDP)","11720.9281582864"
"Russian Federation","2007","Gross Domestic Product (GDP)","9170.2644056918"
"Russian Federation","2006","Gross Domestic Product (GDP)","6973.85527991833"
"Russian Federation","2005","Gross Domestic Product (GDP)","5365.05674836042"
"Russian Federation","2004","Gross Domestic Product (GDP)","4133.77209978318"
"Russian Federation","2003","Gross Domestic Product (GDP)","2998.06961922061"
"Russian Federation","2002","Gross Domestic Product (GDP)","2389.91713207911"
"Russian Federation","2001","Gross Domestic Product (GDP)","2111.66761325676"
"Russian Federation","2000","Gross Domestic Product (GDP)","1781.24847960849"
"Russian Federation","1999","Gross Domestic Product (GDP)","1339.13204313858"
"Russian Federation","1998","Gross Domestic Product (GDP)","1847.88670645702"
"Russian Federation","1997","Gross Domestic Product (GDP)","2756.68555223552"
"Russian Federation","1996","Gross Domestic Product (GDP)","2663.91616872409"
"Russian Federation","1995","Gross Domestic Product (GDP)","2708.01015671625"
"Russian Federation","1994","Gross Domestic Product (GDP)","2760.7410484872"
"Russian Federation","1993","Gross Domestic Product (GDP)","3094.82560908906"
"Russian Federation","1992","Gross Domestic Product (GDP)","3315.06664851014"
"Russian Federation","1991","Gross Domestic Product (GDP)","3797.78752917599"
"Russian Federation","1990","Gross Domestic Product (GDP)","3878.64558197748"